Jahr,Kanton,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2011,Solothurn,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,33,118,24,94,84.1
2011,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,37,9,28,27.5
2011,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Basel-Stadt,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,65,173,25,148,106.3
2011,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,47,16,31,37.2
2011,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Basel-Landschaft,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,20,64,10,54,44.4
2011,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2011,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Schaffhausen,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,20,46,7,39,29.4
2011,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2011,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Appenzell Ausserrhoden,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,7,14,1,13,9.1
2011,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2011,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Appenzell Innerrhoden,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,124,340,42,298,235.1
2011,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,60,16,44,50.7
2011,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,St. Gallen,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,37,103,10,93,66.3
2011,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,39,18,21,32.9
2011,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Graubünden / Grigioni / Grischun,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Aargau,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,161,456,48,408,306.4
2011,Aargau,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,34,6,28,30.1
2011,Aargau,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,107,53,54,100.3
2011,Aargau,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,67,206,34,172,128.3
2011,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,20,6,14,15.3
2011,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Thurgau,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Ticino,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,167,37,130,120.6
2011,Ticino,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2011,Ticino,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Ticino,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Vaud,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,147,416,76,340,281.9
2011,Vaud,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,4,107,40,67,88.3
2011,Vaud,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,193,95,98,172.6
2011,Vaud,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,59,132,10,122,78.4
2011,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,60,22,38,57.5
2011,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Valais / Wallis,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,36,99,21,78,58.5
2011,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,22,3,19,15.2
2011,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Neuchâtel,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Genève,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,70,179,43,136,131.8
2011,Genève,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,73,21,52,66
2011,Genève,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Genève,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2011,Jura,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,17,44,5,39,24.2
2011,Jura,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0
2011,Jura,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2011,Jura,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Zürich,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,304,992,146,846,650.2
2012,Zürich,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,15,355,120,235,280.9
2012,Zürich,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,1,104,39,65,85.4
2012,Zürich,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,275,883,114,769,540.8
2012,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,7,174,59,115,139.5
2012,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Bern / Berne,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Luzern,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,89,334,43,291,216.4
2012,Luzern,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,30,10,20,22.7
2012,Luzern,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0
2012,Luzern,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0
2012,Uri,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,7,23,1,22,10.5
