Jahr,Kanton,Wohnbevölkerung am 31.12.2013,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte / Wohnbevolkerung,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2011,Fribourg / Freiburg,297622,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Fribourg / Freiburg,297622,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,65,200,0.0007650027,21,179,121.2
2011,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,55,0.0002103757,13,42,45.2
2011,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Solothurn,261437,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,33,118,0.000623234,24,94,84.1
2011,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,37,0.0001954208,9,28,27.5
2011,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Basel-Stadt,189335,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,65,173,0.0006208372,25,148,106.3
2011,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,47,0.0001686667,16,31,37.2
2011,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2011,Basel-Landschaft,278656,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2011,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,20,64,0.000812358,10,54,44.4
2011,Schaffhausen,78783,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
