Jahr,Kanton,Wohnbevölkerung am 31.12.2013,Wirtschaftsart (NOGA 2008),Grössenklasse,Arbeitsstätten,Beschäftigte,Beschäftigte / Wohnbevolkerung,Beschäftigte Männer,Beschäftigte Frauen,Vollzeitäquivalente
2012,Vaud,749373,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,58,134,0.0004097721,9,125,79.3
2012,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,2,62,0.0001895961,24,38,59.3
2012,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Valais / Wallis,327011,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,33,95,0.0005385426,22,73,56.1
2012,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,1,20,0.0001133774,3,17,15
2012,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Neuchâtel,176402,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,77,203,0.0004324366,52,151,153.2
2012,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,3,72,0.0001533765,20,52,65.1
2012,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Genève,469433,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
2012,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,0 bis <10 Vollzeitäquivalente,18,44,0.000613343,4,40,22.8
2012,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,10 bis <50 Vollzeitäquivalente,0,0,0,0,0,0
2012,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,50 bis <250 Vollzeitäquivalente,0,0,0,0,0,0
2012,Jura,71738,477602 Detailhandel mit Blumen und Pflanzen,250 Vollzeitäquivalente und mehr,0,0,0,0,0,0
